path,metaphor,Annotator 1,Annotator 2,Annotator 3
im1png.png,Absolut is Mannequin,yes,no,no
im2png.png,Botox is swiss army knife,yes,yes,yes
im3png.png,Arm is Tree,yes,no,yes
im4png.png,Water bottle is light bulb,yes,yes,yes
im5png.png,Alarm clock is dumbbell,yes,yes,yes
im6png.png,Spaghetti is Firework,yes,no,yes
im7png.png,Big Mac is Cake,yes,yes,yes
im8png.png,Brazil is Rocket,yes,yes,yes
im9png.png,Water bottle is exhaust,yes,yes,yes
im10png.png,Car is Electric Plug,yes,yes,yes
im11png.png,Car key is gun,no,no,no
im12png.png,Coffee is alarm clock,yes,yes,yes
im13png.png,Coffee is on/off switch,yes,yes,yes
im14png.png,Cupcake is diamond ring,yes,yes,yes
im15png.png,Light bulb is dandelion,yes,yes,yes
im16png.png,Storm drain is dish rack,no,yes,yes
im17png.png,Alcoholic drink is bullet,yes,yes,yes
im18png.png,French fry is bullet,yes,no,no
im19png.png,Garlic is orange,yes,no,no
im20png.png,Hair is white flag,yes,yes,yes
im21png.png,Headphone is music (bar),yes,no,yes
im22png.png,Uterus is headphones,yes,yes,yes
im23png.png,Keyboard is grenade,no,no,no
im24png.png,Lego is salad,yes,no,yes
im25png.png,Lung is trash,yes,yes,yes
im26png.png,Microphone is grenade,yes,yes,yes
im27png.png,Nespresso capsule is bell,yes,yes,yes
im28png.png,Nike shoe is lung,no,no,no
im29png.png,Iceberg is Popsicle,yes,yes,yes
im30png.png,Nivea cream is moon,yes,no,no
im31png.png,"Pasta is Leaning Tower of
Pisa",yes,no,yes
im32png.png,Red Bull is Battery,yes,yes,yes
im33png.png,Seatbelt is spine,yes,no,yes
im34png.png,Headphones is smile,yes,yes,yes
im35png.png,Shoe is human head,yes,yes,yes
im36png.png,"Slurpee straw is
thermometer",yes,yes,no
im37png.png,Beard is cactus,yes,no,yes
im38png.png,"Starbucks Coffee is
Green signal (stop light)",yes,yes, no
im39png.png,Tabasco is Fire extinguisher,yes,no,yes
im40png.png,Tooth is die,yes,no,yes
im41png.png,Tie is croissant,yes,yes,yes
im42png.png,Flue gas stack is gun,no,no,no
im43png.png,Tree is flag,yes,no,yes
im44png.png,Vegetables are fries,yes,no,no
im45png.png,French fry is Wi-Fi,no,no,no
im46png.png,Woman is punching bag,yes,yes,yes
im47png.png,Camera is Bazooka,yes,yes,yes
im48png.png,Wheat bread is Scale,yes,yes,no
