,sentence,Metaphor,label
0,She gave me a good idea,IDEAS_ARE_POSSESSIONS,1
1,This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill,INHIBITTING_ENACTMENT_OF_LEGISLATION_IS_IMPEDING_MOTION,1
2,With the official start of primary season candidates were off and running as they sought to quickly raise millions of dollars for ad buys,ELECTION_IS_A_RACE,1
3,The US handed over control of the prisoners to Afghan authorities The Democrats wrested control of four governerships from the Republicans in some cases the loss of possession is not voluntary and The government acquired control of the company's assets,CHANGE_IN_CONTROLLER_IS_TRANSFER_OF_POSSESSION,1
4,The money is all dried up,MONEY_IS_A_LIQUID,1
5,Congress' refusal to compromise is moving the country toward economic ruin,ACTION_IS_MOTION_ALONG_A_PATH,1
6,He deviated from the straight and narrow,MORALITY_IS_A_STRAIGHT_PATH,1
7,My business is growing like a weed,SOCIAL_ORGANIZATIONS_ARE_PLANTS,1
8,She squeezed her way to thinner thighs,ACTION_IS_SELF-PROPELLED_MOTION_ALONG_A_PATH,1
9,Our relationship is veering off-course,ROMANTIC_RELATIONSHIPS_ARE_VEHICLES,1
10,Dirt threatens to sink ship of state headline,POLITICAL_REGION_IS_A_VEHICLE,1
11,He is a man of fiery passions,EMOTIONALLY_INTENSE_IS_HOT,1
12,Improving access to education is the only sure way to cure us of poverty,ADDRESSING_POVERTY_IS_TREATING_AN_ILLNESS,1
13,Signal left turn right: central rhetoric and local reform in China,GOVERNMENT_IS_A_DRIVER,1
14,There are twenty members in this group,GROUPS_ARE_CONTAINERS,1
15,He's an articulate thinker,THINKING_IS_SPEAKING,1
16,The goal is a long way off,ACHIEVING_A_PURPOSE_IS_REACHING_A_DESTINATION,1
17,It takes work to build any relationship,RELATIONSHIPS_ARE_COMPLEX_STRUCTURES,1
18,He went on with what he was doing,ACTION_IS_SELF-PROPELLED_MOTION_ALONG_A_PATH,1
19,She was doing a slow burn,ANGER_IS_FIRE,1
20,The voters of Dillon have clearly spoken,VOTING_IS_SPEAKING,1
21,When my mother finds out she'll have a fit,ANGER_IS_INSANITY,1
22,This gives me a great idea!,LEARNING_IS_ACQUIRING,1
23,She's out of her depression,EXPERIENCING_A_STATE_IS_BEING_AT_A_LOCATION,1
24,He just can't seem to grasp the concept,UNDERSTANDING_IS_GRASPING,1
25,What's holding you back from pursuing your dreams,DIFFICULTIES_ARE_IMPEDIMENTS_TO_MOVEMENT,1
26,He got rid of his headache,CHANGE_IS_LOSS,1
