sentence,Predicted metaphor,Reference metaphor,Question Target,Answer Question Target Annotator 1,Question Source,Answer Question Source Annotator 1,Notes,Answer Question Target Annotator 2,Answer Question Source Annotator 2,Answer Question Target Annotator 3,Answer Question Source Annotator 3
She gave me a good idea,IDEAS ARE OBJECTS,IDEAS ARE POSSESSIONS,Is IDEAS the same or closely related to IDEAS?,Yes,Is OBJECTS the same or closely related to POSSESSIONS?,Yes,,yes,yes,Yes,Yes
This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill,CONTROVERSY IS VOLCANO ERUPTION,INHIBITTING ENACTMENT OF LEGISLATION IS IMPEDING MOTION,Is CONTROVERSY the same or closely related to INHIBITTING ENACTMENT OF LEGISLATION?,No,Is VOLCANO ERUPTION the same or closely related to IMPEDING MOTION?,No,,yes,yes,No,No
With the official start of primary season candidates were off and running as they sought to quickly raise millions of dollars for ad buys,ELECTION CAMPAIGN IS A RACE,ELECTION IS A RACE,Is ELECTION CAMPAIGN the same or closely related to ELECTION?,Yes,Is A RACE the same or closely related to A RACE?,Yes,,yes,yes,Yes,Yes
The US handed over control of the prisoners to Afghan authorities The Democrats wrested control of four governerships from the Republicans in some cases the loss of possession is not voluntary and The government acquired control of the company's assets,CONTROL IS AN OBJECT,CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION,Is CONTROL the same or closely related to CHANGE IN CONTROLLER?,Yes,Is AN OBJECT the same or closely related to TRANSFER OF POSSESSION?,No,,yes,yes,Yes,No
The money is all dried up,MONEY IS LIQUID,MONEY IS A LIQUID,Is MONEY the same or closely related to MONEY?,Yes,Is LIQUID the same or closely related to A LIQUID?,Yes,,yes,yes,Yes,Yes
Congress' refusal to compromise is moving the country toward economic ruin,ECONOMIC CHANGE IS PHYSICAL MOVEMENT,ACTION IS MOTION ALONG A PATH,Is ECONOMIC CHANGE the same or closely related to ACTION?,No,Is PHYSICAL MOVEMENT  the same or closely related to MOTION ALONG A PATH?,Yes,,yes,yes,No,Yes
He deviated from the straight and narrow,MORAL BEHAVIOR IS A PATH,MORALITY IS A STRAIGHT PATH,Is MORAL BEHAVIOR the same or closely related to MORALITY?,Yes,Is A PATH the same or closely related to A STRAIGHT PATH?,Yes,,yes,yes,Yes,Yes
My business is growing like a weed,BUSINESS IS A PLANT,SOCIAL ORGANIZATIONS ARE PLANTS,Is BUSINESS the same or closely related to SOCIAL ORGANIZATIONS?,Yes,Is A PLANT the same or closely related to PLANTS?,Yes,,yes,yes,Yes,Yes
She squeezed her way to thinner thighs,BODY TRANSFORMATION IS PHYSICAL MANIPULATION,ACTION IS SELF-PROPELLED MOTION ALONG A PATH,Is BODY TRANSFORMATION the same or closely related to ACTION?,Yes,Is PHYSICAL MANIPULATION the same or closely related to SELF-PROPELLED MOTION ALONG A PATH?,No,,yes,yes,Yes,No
Our relationship is veering off-course,RELATIONSHIP IS A VEHICLE ON A COURSE,ROMANTIC RELATIONSHIPS ARE VEHICLES,Is  RELATIONSHIP the same or closely related to ROMANTIC RELATIONSHIPS?,Yes,Is A VEHICLE ON A COURSE the same or closely related to VEHICLES?,Yes,,yes,yes,Yes,Yes
Dirt threatens to sink ship of state headline,STATE IS A SHIP,POLITICAL REGION IS A VEHICLE,Is STATE the same or closely related to POLITICAL REGION?,Yes,Is A SHIP the same or closely related to A VEHICLE?,Yes,,yes,yes,Yes,Yes
He is a man of fiery passions,PASSION IS FIRE,EMOTIONALLY INTENSE IS HOT,Is PASSION the same or closely related to EMOTIONALLY INTENSE?,Yes,Is FIRE the same or closely related to HOT?,Yes,,yes,yes,Yes,Yes
Improving access to education is the only sure way to cure us of poverty,EDUCATION IS MEDICINE,ADDRESSING POVERTY IS TREATING AN ILLNESS,Is EDUCATION the same or closely related to ADDRESSING POVERTY?,No,Is MEDICINE the same or closely related to TREATING AN ILLNESS?,Yes,,yes,yes,No,Yes
Signal left turn right: central rhetoric and local reform in China,POLITICAL RHETORIC IS TRAFFIC SIGNALING,GOVERNMENT IS A DRIVER,Is  POLITICAL RHETORIC the same or closely related to GOVERNMENT?,Yes,Is TRAFFIC SIGNALING the same or closely related to A DRIVER?,No,,yes,yes,Yes,Yes
He's an articulate thinker,THINKING IS SPEAKING,THINKING IS SPEAKING,Is THINKING the same or closely related to THINKING?,Yes,Is SPEAKING the same or closely related to SPEAKING?,Yes,,yes,yes,Yes,Yes
The goal is a long way off,GOALS ARE DESTINATIONS,ACHIEVING A PURPOSE IS REACHING A DESTINATION,Is GOALS the same or closely related to ACHIEVING A PURPOSE?,Yes,Is DESTINATIONS the same or closely related to REACHING A DESTINATION?,Yes,,yes,yes,Yes,Yes
It takes work to build any relationship,RELATIONSHIPS ARE BUILDINGS,RELATIONSHIPS ARE COMPLEX STRUCTURES,Is RELATIONSHIPS the same or closely related to RELATIONSHIPS?,Yes,Is BUILDINGS the same or closely related to COMPLEX STRUCTURES?,Yes,,yes,yes,Yes,Yes
He went on with what he was doing,CONTINUING AN ACTION IS MOVING FORWARD ON A PATH,ACTION IS SELF-PROPELLED MOTION ALONG A PATH,Is CONTINUING AN ACTION the same or closely related to ACTION?,Yes,Is MOVING FORWARD ON A PATH the same or closely related to SELF-PROPELLED MOTION ALONG A PATH?,Yes,,yes,yes,Yes,Yes
She was doing a slow burn,ANGER IS FIRE,ANGER IS FIRE,Is ANGER the same or closely related to ANGER?,Yes,Is FIRE the same or closely related to FIRE?,Yes,,yes,yes,Yes,Yes
The voters of Dillon have clearly spoken,VOTING IS SPEAKING,VOTING IS SPEAKING,Is VOTING the same or closely related to VOTING?,Yes,Is SPEAKING the same or closely related to SPEAKING?,Yes,,yes,yes,Yes,Yes
