path,metaphor,Annotator 1,Annotator 2,Annotator 3
im1png.png,Absolut is Mannequin,yes,No,no
im2png.png,Botox is swiss army knife,yes,yes,yes
im3png.png,Arm is Tree,yes,No,no
im4png.png,Water bottle is light bulb,yes,Yes,yes
im5png.png,Alarm clock is dumbbell,yes,Yes,yes
im6png.png,Spaghetti is Firework,yes,No,no
im7png.png,Big Mac is Cake,yes,Yes,yes
im8png.png,Brazil is Rocket,yes,Yes,yes
im9png.png,Water bottle is exhaust,yes,Yes,yes
im10png.png,Car is Electric Plug,yes,Yes,no
im11png.png,Car key is gun,yes,Yes,yes
im12png.png,Coffee is alarm clock,yes,Yes,yes
im13png.png,Coffee is on/off switch,yes,No,yes
im14png.png,Cupcake is diamond ring,yes,Yes,yes
im15png.png,Light bulb is dandelion,yes,Yes,yes
im16png.png,Storm drain is dish rack,no,Yes,yes
im17png.png,Alcoholic drink is bullet,yes,Yes,yes
im18png.png,French fry is bullet,no,no,no
im19png.png,Garlic is orange,yes,No,no
im20png.png,Hair is white flag,yes,Yes,yes
im21png.png,Headphone is music (bar),yes,Yes,yes
im22png.png,Uterus is headphones,yes,Yes,yes
im23png.png,Keyboard is grenade,yes,No,no
im24png.png,Lego is salad,no,yes,yes
im25png.png,Lung is trash,no,Yes,yes
im26png.png,Microphone is grenade,yes,Yes,no
im27png.png,Nespresso capsule is bell,yes,yes,no
im28png.png,Nike shoe is lung,no,No,no
im29png.png,Iceberg is Popsicle,yes,Yes,yes
im30png.png,Nivea cream is moon,yes,no,no
im31png.png,"Pasta is Leaning Tower of
Pisa",yes,yes,yes
im32png.png,Red Bull is Battery,yes,yes,no
im33png.png,Seatbelt is spine,yes,yes,no
im34png.png,Headphones is smile,yes,Yes,yes
im35png.png,Shoe is human head,no,No,no
im36png.png,"Slurpee straw is
thermometer",yes,No,yes
im37png.png,Beard is cactus,yes,Yes,no
im38png.png,"Starbucks Coffee is
Green signal (stop light)",yes,yes,no
im39png.png,Tabasco is Fire extinguisher,yes,Yes,yes
im40png.png,Tooth is die,yes,Yes,yes
im41png.png,Tie is croissant,yes,Yes,yes
im42png.png,Flue gas stack is gun,yes,No,no
im43png.png,Tree is flag,yes,No,no
im44png.png,Vegetables are fries,yes,yes,no
im45png.png,French fry is Wi-Fi,yes,Yes,yes
im46png.png,Woman is punching bag,yes,yes,yes
im47png.png,Camera is Bazooka,yes,Yes,no
im48png.png,Wheat bread is Scale,yes,No,no
