path,metaphor,Annotator 1,Annotator 2,Annotator 3
im1png.png,Absolut is Mannequin,No,no,no
im2png.png,Botox is swiss army knife,Yes,yes,yes
im3png.png,Arm is Tree,No,no,no
im4png.png,Water bottle is light bulb,Yes,yes,yes
im5png.png,Alarm clock is dumbbell,Yes,yes,yes
im6png.png,Spaghetti is Firework,No,yes,no
im7png.png,Big Mac is Cake,Yes,yes,yes
im8png.png,Brazil is Rocket,No,yes,yes
im9png.png,Water bottle is exhaust,No,yes,yes
im10png.png,Car is Electric Plug,Yes,no,yes
im11png.png,Car key is gun,No,yes,yes
im12png.png,Coffee is alarm clock,Yes,yes,yes
im13png.png,Coffee is on/off switch,Yes,yes,yes
im14png.png,Cupcake is diamond ring,Yes,yes,yes
im15png.png,Light bulb is dandelion,Yes,yes,yes
im16png.png,Storm drain is dish rack,Yes,no,yes
im17png.png,Alcoholic drink is bullet,Yes,yes,yes
im18png.png,French fry is bullet,No,no,no
im19png.png,Garlic is orange,No,no,no
im20png.png,Hair is white flag,Yes,yes,yes
im21png.png,Headphone is music (bar),Yes,yes,no
im22png.png,Uterus is headphones,Yes,yes,no
im23png.png,Keyboard is grenade,Yes,no,no
im24png.png,Lego is salad,Yes,no,yes
im25png.png,Lung is trash,Yes,no,yes
im26png.png,Microphone is grenade,Yes,yes,no
im27png.png,Nespresso capsule is bell,Yes sort of,yes,no
im28png.png,Nike shoe is lung,No,no,no
im29png.png,Iceberg is Popsicle,Yes,yes,yes
im30png.png,Nivea cream is moon,No,yes,no
im31png.png,"Pasta is Leaning Tower of
Pisa",Yes,yes,yes
im32png.png,Red Bull is Battery,No,yes,no
im33png.png,Seatbelt is spine,Yes sort of,yes,no
im34png.png,Headphones is smile,Yes,yes,yes
im35png.png,Shoe is human head,Yes,yes,yes
im36png.png,"Slurpee straw is
thermometer",No,yes,yes
im37png.png,Beard is cactus,Yes,yes,no
im38png.png,"Starbucks Coffee is
Green signal (stop light)",Yes sort of,yes,no
im39png.png,Tabasco is Fire extinguisher,Yes,yes,yes
im40png.png,Tooth is die,Yes,yes,yes
im41png.png,Tie is croissant,No,yes,no
im42png.png,Flue gas stack is gun,No,yes,no
im43png.png,Tree is flag,Yes,no,yes
im44png.png,Vegetables are fries,No,yes,no
im45png.png,French fry is Wi-Fi,Yes,yes,yes
im46png.png,Woman is punching bag,Not really,yes,yes
im47png.png,Camera is Bazooka,No,yes,no
im48png.png,Wheat bread is Scale,No,no,no
