path,metaphor,Annotator 1,Annotator 2,Annotator 3
im1png.png,Absolut is Mannequin,no,no,No
im2png.png,Botox is swiss army knife,yes,yes,Yes
im3png.png,Arm is Tree,no,yes,No
im4png.png,Water bottle is light bulb,yes,yes,Yes
im5png.png,Alarm clock is dumbbell,yes,yes,Yes
im6png.png,Spaghetti is Firework,no,yes,No
im7png.png,Big Mac is Cake,yes,yes,Yes
im8png.png,Brazil is Rocket,yes,yes,Yes
im9png.png,Water bottle is exhaust,yes,yes,Yes
im10png.png,Car is Electric Plug,no,yes,Yes
im11png.png,Car key is gun,no,no,No
im12png.png,Coffee is alarm clock,yes,no,Yes
im13png.png,Coffee is on/off switch,yes,yes,Yes
im14png.png,Cupcake is diamond ring,yes,yes,Yes
im15png.png,Light bulb is dandelion,yes,yes,Yes
im16png.png,Storm drain is dish rack,yes,yes,Yes
im17png.png,Alcoholic drink is bullet,yes,yes,Yes
im18png.png,French fry is bullet,no,yes,Yes
im19png.png,Garlic is orange,no,yes,No
im20png.png,Hair is white flag,yes,yes,Yes
im21png.png,Headphone is music (bar),yes,yes,Yes
im22png.png,Uterus is headphones,yes,no,Yes
im23png.png,Keyboard is grenade,yes,no,Yes
im24png.png,Lego is salad,yes,no,Yes
im25png.png,Lung is trash,yes,no,Yes
im26png.png,Microphone is grenade,yes,yes,Yes
im27png.png,Nespresso capsule is bell,yes,yes,Yes
im28png.png,Nike shoe is lung,no,no,No
im29png.png,Iceberg is Popsicle,no,yes,No
im30png.png,Nivea cream is moon,no,yes,No
im31png.png,"Pasta is Leaning Tower of
Pisa",yes,yes,Yes
im32png.png,Red Bull is Battery,no,yes,No
im33png.png,Seatbelt is spine,no,yes,Yes
im34png.png,Headphones is smile,yes,yes,Yes
im35png.png,Shoe is human head,yes,yes,Yes
im36png.png,"Slurpee straw is
thermometer",yes,yes,No
im37png.png,Beard is cactus,no,yes,Yes
im38png.png,"Starbucks Coffee is
Green signal (stop light)",yes,yes,Yes
im39png.png,Tabasco is Fire extinguisher,no,yes,Yes
im40png.png,Tooth is die,yes,no,Yes
im41png.png,Tie is croissant,no,yes,No
im42png.png,Flue gas stack is gun,no,yes,No
im43png.png,Tree is flag,no,yes,Yes
im44png.png,Vegetables are fries,yes,yes,Yes
im45png.png,French fry is Wi-Fi,no,yes,No
im46png.png,Woman is punching bag,no,yes,No
im47png.png,Camera is Bazooka,no,yes,No
im48png.png,Wheat bread is Scale,no,no,No
